3158069	3153952	6
3158070	3219488	14344
3158070	3289141	18442
3158070	3289142	22540
3158070	3289143	26637
3158070	3355218	28701
3158070	3355468	61486
3158070	3355730	96303
3158070	3355730	98353
3158070	3356192	102451
3158070	3356492	106548
3158070	3356492	108624
3158070	3356960	165969
3158070	3420960	168019
3158070	3487052	172125
3158070	3488082	192606
3158070	3617356	194655
3158070	3617618	196704
3223600	3153952	198795
3223856	3219488	286861
3224113	3481632	290960
3224113	3547168	297106
3224118	3285024	301207
3224368	3219488	311449
3224368	3350560	315547
3224368	3481632	319646
3224369	3153952	325793
3224369	3285024	331944
3224369	3416096	346290
3224369	3743776	366771
3224370	3547168	368821
3224371	3678240	372918
3224628	3416096	374968
3224631	3547168	379070
3224631	3612704	391359
3224881	3481632	393409
3224883	3547168	397510
3224886	3153952	407752
3224886	3481632	411856
3224888	3547168	428241
3224888	3743776	430293
3224889	3153952	438488
3224889	3612704	444638
3225136	3481632	456930
3225136	3678240	465123
3225136	3743776	467173
3225392	3416096	471270
3225392	3612704	473324
3225393	3153952	485615
3225393	3678240	491761
3225394	3350560	495859
3225648	3285024	499956
3225649	3481632	502011
3225904	3743776	516350
3289136	3285024	522495
3289138	3350560	524544
3289138	3612704	526599
3289139	3219488	540942
3289140	3743776	555290
3289392	3416096	579869
3289650	3678240	586014
3289651	3219488	588070
3289651	3350560	604456
3289651	3743776	608553
3289904	3219488	610604
3289904	3350560	616757
3289904	3678240	635195
3289905	3350560	647488
3289905	3612704	657764
3289906	3416096	731493
3289906	3612704	733564
3289906	3678240	780669
3289907	3153952	782745
3289907	3612704	840116
3289908	3153952	895414
3289908	3416096	899516
3289908	3481632	911818
3289909	3219488	940492
3289909	3285024	944590
3289909	3350560	948700
3289909	3416096	977374
3289909	3481632	981471
3289909	3547168	983521
3289910	3153952	987621
3289910	3612704	995816
3289911	3219488	1001972
3289911	3547168	1026558
3289911	3612704	1047050
3289911	3743776	1071632
3289912	3285024	1083922
3289912	3350560	1088026
3290160	3219488	1104414
3290160	3678240	1112615
3290160	3743776	1131057
3290162	3219488	1151539
3290162	3678240	1155638
3290163	3743776	1161793
3290164	3678240	1184337
3290164	3743776	1217109
3290165	3219488	1225302
3290165	3416096	1227371
3290165	3481632	1270388
3290165	3547168	1288829
3290165	3678240	1307265
3290166	3416096	1315460
3290167	3285024	1321605
3290167	3416096	1323676
3290167	3678240	1370781
3290168	3219488	1372835
3290169	3285024	1385152
3290169	3678240	1444552
3290417	3481632	1460938
3290418	3153952	1465035
3290419	3416096	1467086
3290672	3350560	1473239
3290673	3153952	1491674
3290673	3678240	1497822
3291192	3219488	1506021
3291192	3285024	1520363
3291192	3416096	1532654
3291192	3481632	1538802
3291192	3547168	1546996
3291192	3612704	1551094
3291192	3678240	1555200
3291193	3153952	1575682
3291193	3219488	1579781
3291441	3481632	1585929
3291442	3743776	1594123
3354672	3481632	1598222
3354672	3547168	1604369
3354672	3678240	1610559
3354673	3547168	1704769
3354673	3612704	1708870
3354673	3743776	1719125
3354674	3350560	1749848
3354674	3547168	1756004
3354675	3153952	1780581
3354675	3416096	1782631
3354675	3481632	1786735
3354675	3612704	1803127
3354677	3743776	1819516
3354680	3219488	1829766
3354928	3481632	1850268
3354933	3285024	1895325
3354934	3350560	1897375
3354936	3743776	1901479
3355186	3612704	1917873
3355187	3219488	1938360
3355190	3153952	1952704
3355190	3416096	1969091
3355192	3743776	1975238
3355193	3350560	1981386
3355193	3743776	1989579
3355442	3350560	1991628
3355442	3416096	1993680
3355446	3285024	2001874
3355447	3416096	2005986
3355447	3547168	2038757
3355448	3153952	2044903
3355696	3547168	2049006
3355697	3350560	2063349
3355698	3678240	2077687
3355700	3350560	2081807
3355701	3153952	2130966
3355701	3481632	2145303
3355704	3219488	2147360
3355705	3678240	2165793
3355952	3416096	2167842
3355953	3481632	2169893
3355954	3547168	2176039
3355954	3743776	2180138
3355955	3285024	2186292
3355955	3350560	2206778
3355956	3481632	2219068
3355956	3547168	2223166
3355957	3285024	2227268
3355958	3350560	2239561
3355961	3547168	2249806
3356210	3416096	2260048
3356212	3481632	2264147
3356214	3481632	2270299
3356215	3350560	2286688
3356217	3219488	2296931
3356217	3678240	2303077
3356464	3547168	2307174
3356464	3678240	2309224
3356465	3219488	2313322
3420464	3481632	2317423
3420464	3612704	2327668
3420467	3612704	2337914
3420468	3678240	2350208
3420470	3285024	2362498
3421493	3219488	2366597
3422002	3219488	2372751
3422003	3547168	2393232
3422003	3743776	2395289
3422256	3350560	2413723
3422512	3547168	2417822
3422513	3481632	2423971
3422513	3743776	2434217
3422515	3678240	2446508
3422516	3350560	2452659
3422516	3612704	2467004
3422517	3678240	2485444
3422518	3153952	2501830
3422518	3547168	2505932
3422519	3219488	2518223
3422519	3612704	2524369
3422521	3219488	2528468
3486260	3350560	2534615
3486262	3416096	2540763
3486262	3743776	2548957
3486264	3612704	2553054
3486264	3743776	2555105
3486512	3481632	2561252
3486513	3612704	2567398
3486516	3612704	2571498
3486516	3743776	2579691
3486519	3219488	2581741
3486520	3678240	2585839
3486521	3285024	2589939
3486770	3481632	2598134
3486773	3612704	2604281
3486774	3743776	2610426
3486776	3350560	2612490
3487027	3416096	2645259
3487027	3547168	2647311
3487799	3219488	2655506
3551537	3219488	2661652
3551537	3547168	2665751
3551538	3153952	2671899
3551538	3219488	2680094
3551539	3678240	2686239
3551540	3612704	2688291
3551541	3350560	2696495
3551543	3350560	2721074
3551543	3481632	2727223
3551544	3285024	2737472
3551544	3612704	2755906
3551544	3678240	2760003
3551792	3285024	2762054
3551792	3743776	2768199
3551793	3350560	2770250
3551794	3153952	2776397
3551795	3153952	2782543
3551795	3678240	2786640
3551795	3743776	2788691
3551797	3612704	2794838
3551798	3219488	2800984
3551798	3743776	2805087
3551799	3416096	2819428
3551799	3678240	2829670
3551799	3743776	2833767
3551800	3481632	2835816
3551801	3153952	2837867
3552305	3219488	2844013
3552305	3416096	2848117
3552307	3481632	2864503
3552307	3678240	2868600
3552309	3219488	2870656
3552309	3285024	2887045
3552309	3547168	2897303
3552310	3285024	2934175
3552312	3678240	2950579
3552560	3743776	2991541
3552561	3153952	2995641
3552562	3481632	3003836
3682353	3547168	3009983
3682355	3743776	3016130
3682356	3285024	3022277
3682356	3416096	3028427
3682358	3743776	3040723
3682359	3547168	3057109
3682361	3219488	3061208
3682608	3481632	3067355
3682609	3285024	3073501
3682613	3153952	3077599
3682613	3481632	3081698
3682614	3350560	3087844
3682873	3743776	3091948
3683124	3219488	3108333
3683124	3743776	3110384
3683125	3678240	3116532
3683128	3350560	3124726
3683376	3416096	3128823
3683376	3547168	3130877
3683379	3547168	3143175
3683384	3743776	3163657
3684658	3416096	3167755
3750195	3678240	3171852
3750195	3743776	3173901
