0050  	06205P	
2330  	072894	
2330  	072895	
2330  	070638	
2330  	070639	
2330  	070640	
2330  	070641	
2330  	070642	
2330  	07084P	
2330  	074488	
2330  	074489	
2330  	07463P	
2330  	07464P	
2330  	07465P	
2330  	078602	
2330  	078603	
2330  	076604	
2330  	077862	
2330  	077863	
2330  	077864	
2330  	077784	
2337  	076719	
2337  	076720	
2337  	077336	
2337  	077337	
2337  	077338	
2337  	075585	
2337  	075586	
2337  	074378	
2337  	070910	
2337  	070968	
2337  	070400	
2337  	069739	
2337  	069740	
2337  	070222	
2337  	070223	
2337  	07268P	
2337  	07269P	
2337  	065208	
2337  	065209	
2337  	06243P	
2337  	06234P	
2337  	069863	
2337  	069864	
2337  	069865	
2337  	069439	
2337  	069440	
2337  	069441	
2340  	069594	
2340  	074878	
2344  	074177	
2344  	073728	
2344  	073924	
2344  	078275	
2344  	065069	
2344  	065165	
2345  	06356P	
2345  	06900P	
2345  	069102	
2345  	071869	
2345  	069741	
2345  	078060	
2345  	077979	
2345  	077339	
2345  	077340	
2345  	074379	
2345  	07448P	
2345  	074490	
2345  	074879	
2345  	076413	
2351  	074880	
2351  	074881	
2352  	075587	
2352  	069866	
2353  	069408	
2353  	069103	
2353  	06235P	
2353  	06581P	
2353  	06022P	
2353  	05848P	
2353  	070831	
2353  	072896	
2353  	07618P	
2353  	073516	
2353  	076721	
2353  	076722	
2353  	078604	
2353  	078605	
2354  	075588	
2354  	05951P	
2355  	075905	
2356  	075906	
2356  	072897	
2360  	069867	
2360  	069303	
2360  	074380	
2360  	074588	
2367  	07400P	
2367  	076950	
2367  	077485	
2371  	075744	
2371  	076371	
2371  	076414	
2371  	069185	
2371  	069186	
2371  	069187	
2371  	05822P	
2371  	06357P	
2371  	072480	
2371  	072481	
2371  	071870	
2371  	071871	
2376  	071381	
2376  	071382	
2376  	072256	
2376  	072257	
2376  	073290	
2376  	06439P	
2376  	06451P	
2376  	06901P	
2376  	074799	
2376  	074694	
2377  	074695	
2377  	074381	
2377  	075446	
2377  	075834	
2377  	06902P	
2377  	069304	
2377  	06358P	
2377  	06637P	
2377  	065377	
2377  	065378	
2377  	071872	
2377  	071873	
2379  	06668P	
2379  	073454	
2379  	073455	
2379  	073456	
2379  	078237	
2379  	078238	
2382  	075907	
2382  	069104	
2383  	05980P	
2383  	070061	
2383  	073457	
2383  	073458	
2383  	073622	
2383  	073623	
2383  	078239	
2383  	078240	
2401  	073459	
2401  	070062	
2401  	05981P	
2401  	06669P	
2408  	069105	
2408  	07085P	
2408  	071050	
2408  	071135	
2408  	073624	
2408  	074491	
2408  	075835	
2408  	078276	
2408  	077865	
2409  	076723	
2409  	075836	
2409  	07422P	
2409  	072407	
2409  	072408	
2409  	069188	
2409  	069189	
2409  	069190	
2409  	05823P	
2409  	05824P	
2421  	073460	
2421  	073461	
2428  	076372	
2428  	076724	
2428  	076725	
2439  	07552P	
2439  	075447	
2439  	075448	
2439  	074800	
2439  	073925	
2439  	06034P	
2439  	05958P	
2439  	071051	
2439  	070727	
2439  	070555	
2439  	069909	
2448  	069742	
2448  	070401	
2448  	070402	
2448  	070347	
2448  	070348	
2448  	07086P	
2448  	07087P	
2448  	069409	
2448  	069410	
2448  	069017	
2448  	066799	
2448  	075837	
2448  	075838	
2448  	075839	
2448  	077500	
2448  	078791	
2449  	078126	
2449  	074696	
2449  	074697	
2449  	072482	
2451  	071383	
2454  	072113	
2454  	072044	
2454  	07304P	
2454  	07305P	
2454  	07306P	
2454  	07307P	
2454  	06701P	
2454  	067024	
2454  	06702P	
2454  	06703P	
2454  	06704P	
2454  	069868	
2454  	069869	
2454  	065452	
2454  	073625	
2454  	073626	
2454  	073627	
2454  	077043	
2454  	077044	
2454  	077045	
2454  	077046	
2455  	078606	
2455  	078430	
2455  	075110	
2455  	075111	
2455  	075112	
2455  	065865	
2455  	06440P	
2455  	069191	
2455  	072258	
2456  	07158P	
2456  	069106	
2456  	05899P	
2456  	05849P	
2456  	073926	
2456  	078607	
2456  	078711	
2456  	076264	
2456  	076265	
2458  	075113	
2458  	05850P	
2458  	069870	
2458  	070969	
2464  	071052	
2464  	071571	
2464  	072627	
2472  	071572	
2474  	072045	
2474  	072114	
2474  	07308P	
2474  	07309P	
2474  	07310P	
2474  	070123	
2474  	05162P	
2474  	05187P	
2474  	066141	
2474  	06670P	
2474  	06671P	
2474  	06672P	
2474  	066421	
2474  	073462	
2474  	073463	
2474  	073464	
2474  	073465	
2474  	073466	
2474  	077047	
2474  	077048	
2474  	077049	
2474  	077050	
2474  	077051	
2478  	072115	
2481  	072483	
2481  	071136	
2481  	06500P	
2481  	069871	
2481  	078792	
2481  	075353	
2492  	075449	
2492  	074801	
2492  	07466P	
2492  	07487P	
2492  	076373	
2492  	076374	
2492  	07401P	
2492  	074589	
2492  	074382	
2492  	078608	
2492  	078609	
2492  	078339	
2492  	078340	
2492  	07619P	
2492  	077587	
2492  	077588	
2492  	069634	
2492  	069192	
2492  	06903P	
2492  	06359P	
2492  	06194P	
2492  	066144	
2492  	05900P	
2492  	071137	
2492  	071138	
2492  	069743	
2492  	07146P	
2492  	073291	
2492  	072334	
2498  	066489	
2498  	066661	
2498  	065040	
2498  	068940	
2498  	068941	
2498  	074492	
2498  	076139	
2498  	076140	
2515  	074383	
2515  	067165	
2520  	073467	
2534  	074384	
2534  	076951	
2534  	072409	
2603  	071685	
2603  	071686	
2603  	071874	
2603  	070403	
2603  	06325P	
2603  	06206P	
2603  	06360P	
2603  	074385	
2603  	074960	
2610  	078501	
2610  	071384	
2610  	071385	
2618  	071573	
2618  	070816	
2618  	04904P	
2618  	078502	
2881  	075589	
2881  	05851P	
2881  	06361P	
2881  	069107	
2881  	069305	
2881  	070404	
2881  	071875	
2882  	071876	
2882  	070405	
2882  	069306	
2882  	06362P	
2882  	05852P	
2882  	075590	
2884  	076375	
2884  	069635	
2884  	071945	
2885  	069411	
2885  	065453	
2885  	076376	
2885  	078503	
2886  	069636	
2886  	071946	
2887  	071947	
2887  	065454	
2888  	065469	
2888  	065470	
2888  	069262	
2888  	069263	
2888  	06904P	
2888  	071948	
2888  	07004P	
2888  	076377	
2888  	074882	
2888  	074493	
2890  	076378	
2890  	071949	
2891  	071950	
2891  	069412	
2891  	076379	
2915  	075264	
2915  	077161	
2915  	069264	
2915  	05840P	
2929  	069413	
2929  	069414	
3005  	069108	
3005  	071687	
3005  	075591	
3006  	075592	
3006  	078793	
3006  	070970	
3008  	070728	
3008  	070729	
3008  	070730	
3008  	070731	
3008  	070477	
3008  	070478	
3008  	070479	
3008  	070643	
3008  	070644	
3008  	071951	
3008  	072116	
3008  	072117	
3008  	072118	
3008  	072119	
3008  	073292	
3008  	06886P	
3008  	06887P	
3008  	06854P	
3008  	06855P	
3008  	04026P	
3008  	04027P	
3008  	04028P	
3008  	04029P	
3008  	04030P	
3008  	04031P	
3008  	06142P	
3008  	06180P	
3008  	062187	
3008  	062188	
3008  	062189	
3008  	062190	
3008  	062191	
3008  	062192	
3008  	062193	
3008  	062194	
3008  	06382P	
3008  	06403P	
3008  	06404P	
3008  	075114	
3008  	075115	
3008  	074494	
3008  	074495	
3008  	074496	
3008  	074698	
3008  	074699	
3008  	074700	
3016  	071386	
3016  	071387	
3017  	070556	
3017  	06001P	
3017  	069415	
3017  	069637	
3017  	075647	
3019  	076141	
3019  	076415	
3019  	07501P	
3019  	073329	
3019  	077341	
3019  	077486	
3019  	06631P	
3019  	06002P	
3019  	06096P	
3019  	071053	
3019  	070124	
3019  	070125	
3019  	070126	
3019  	070127	
3019  	073293	
3023  	069442	
3023  	069443	
3023  	075593	
3026  	076605	
3026  	076606	
3026  	076607	
3026  	076608	
3026  	069872	
3026  	069873	
3026  	06290P	
3026  	06474P	
3026  	07250P	
3026  	071388	
3026  	070645	
3026  	071264	
3030  	077980	
3034  	076952	
3034  	069193	
3035  	06475P	
3035  	069989	
3035  	072410	
3035  	072411	
3035  	072412	
3035  	078127	
3035  	077487	
3035  	078610	
3037  	077866	
3037  	078277	
3037  	076040	
3037  	073517	
3037  	073518	
3037  	070063	
3037  	05982P	
3037  	06681P	
3059  	069990	
3059  	069991	
3059  	073628	
3059  	074386	
3059  	076529	
3081  	70542P	
3081  	70543P	
3081  	733306	
3081  	733307	
3081  	733308	
3081  	736669	
3081  	736783	
3081  	735029	
3081  	735030	
3081  	735031	
